Date,District,Time,AQHI
20200114,Tsuen Wan,9,4
20200115,Tsuen Wan,9,4
20200116,Tsuen Wan,9,3
20200117,Tsuen Wan,9,2
20200118,Tsuen Wan,9,2
20200119,Tsuen Wan,9,3
20200120,Tsuen Wan,9,2
20200121,Tsuen Wan,9,4
20200122,Tsuen Wan,9,4
20200123,Tsuen Wan,9,2
20200124,Tsuen Wan,9,3
20200125,Tsuen Wan,9,3
20200126,Tsuen Wan,9,1
20200127,Tsuen Wan,9,2
20200128,Tsuen Wan,9,2
20200129,Tsuen Wan,9,3
20200130,Tsuen Wan,9,3
20200131,Tsuen Wan,9,3
20200101,Tuen Mun,9,3
20200102,Tuen Mun,9,3
20200103,Tuen Mun,9,3
20200104,Tuen Mun,9,3
20200105,Tuen Mun,9,4
20200106,Tuen Mun,9,4
20200107,Tuen Mun,9,3
20200108,Tuen Mun,9,3
20200109,Tuen Mun,9,4
20200110,Tuen Mun,9,4
20200111,Tuen Mun,9,3
20200112,Tuen Mun,9,2
20200113,Tuen Mun,9,3
20200114,Tuen Mun,9,4
20200115,Tuen Mun,9,4
20200116,Tuen Mun,9,4
20200117,Tuen Mun,9,3
20200118,Tuen Mun,9,2
20200119,Tuen Mun,9,3
20200120,Tuen Mun,9,2
20200121,Tuen Mun,9,3
20200122,Tuen Mun,9,4
20200123,Tuen Mun,9,3
20200124,Tuen Mun,9,3
20200125,Tuen Mun,9,3
20200126,Tuen Mun,9,1
20200127,Tuen Mun,9,2
20200128,Tuen Mun,9,2
20200129,Tuen Mun,9,3
20200130,Tuen Mun,9,4
20200131,Tuen Mun,9,4
20200101,Yuen Long,9,3
20200102,Yuen Long,9,3
20200103,Yuen Long,9,3
20200104,Yuen Long,9,3
20200105,Yuen Long,9,3
20200106,Yuen Long,9,4
20200107,Yuen Long,9,3
20200108,Yuen Long,9,3
20200109,Yuen Long,9,4
20200110,Yuen Long,9,4
20200111,Yuen Long,9,3
20200112,Yuen Long,9,2
20200113,Yuen Long,9,3
20200114,Yuen Long,9,4
20200115,Yuen Long,9,4
20200116,Yuen Long,9,3
20200117,Yuen Long,9,2
20200118,Yuen Long,9,2
20200119,Yuen Long,9,3
20200120,Yuen Long,9,2
20200121,Yuen Long,9,3
20200122,Yuen Long,9,4
20200123,Yuen Long,9,3
20200124,Yuen Long,9,2
20200125,Yuen Long,9,3
20200126,Yuen Long,9,1
20200127,Yuen Long,9,2
20200128,Yuen Long,9,2
20200129,Yuen Long,9,3
20200130,Yuen Long,9,3
20200131,Yuen Long,9,3
